"id","countyName","zipCode"
"70435","Barbour","36016 "
"70436","Blount"," 35016 "
"70437","Bullock"," 36005 "
"70438","Appling"," 31513 "
"70439","Chambers"," 36274 "
"70440","Butler"," 36030 "
"70441","Barbour"," 36017 "
"70442","Blount"," 35031 "
"70443","Bullock"," 36029 "
"70444","Appling"," 31555 "
"70445","Chambers"," 36276 "
"70446","Atkinson"," 31650 "
"70447","Fairfield"," 06468 "
"70448","District of Columbia"," 20001 "
"70449","Calhoun"," 35096 "
"70450","Butler"," 36032 "
"70451","Cherokee"," 35959 "
"70452","Barbour"," 36027 "
"70453","Blount"," 35049 "
"70454","Bullock"," 36053 "
"70455","Baker"," 39862 "
"70456","Alameda"," 94501 "
"70457","Appling"," 31563 "
"70458","Chambers"," 36850 "
"70459","Fairfield"," 06470 "
"70460","District of Columbia"," 20002 "
"70461","Calhoun"," 35905 "
"70462","Butler"," 36033 "
"70463","Cherokee"," 35960 "
"70464","Barbour"," 36048 "
"70465","Blount"," 35063 "
"70466","Bullock"," 36089 "
"70467","Baker"," 39870 "
"70468","Alameda"," 94502 "
"70469","Bacon"," 31510 "
"70470","Baldwin"," 31031 "
"70471","Apache"," 85902 "
"70472","Chambers"," 36854 "
"70473","Fairfield"," 06482 "
"70474","District of Columbia"," 20003 "
"70475","Calhoun"," 36201 "
"70476","Butler"," 36037 "
"70477","Cherokee"," 35967 "
"70478","Barbour"," 36053 "
"70479","Blount"," 35079 "
"70480","Adams"," 80003 "
"70481","Arkansas"," 72026 "
"70482","Banks"," 30510 "
"70483","Cochise"," 85602 "
"70484","Aleutians West"," 99685 "
"70485","Alameda"," 94514 "
"70486","Bacon"," 31554 "
"70487","Baldwin"," 31061 "
"70488","Apache"," 85920 "
"70489","Chambers"," 36855 "
"70490","Fairfield"," 06484 "
"70491","District of Columbia"," 20004 "
"70492","Calhoun"," 36203 "
"70493","Butler"," 36042 "
"70494","Cherokee"," 35973 "
"70495","Barbour"," 36311 "
"70496","Blount"," 35097 "
"70497","Adams"," 80010 "
"70498","Arkansas"," 72042 "
"70499","Banks"," 30511 "
"70500","Cochise"," 85603 "
"70501","Anchorage"," 99501 "
"70502","Barrow"," 30011 "
"70503","Coconino"," 85931 "
"70504","Alameda"," 94536 "
"70505","Baldwin"," 31087 "
"70506","Apache"," 85924 "
"70507","Chambers"," 36862 "
"70508","Fairfield"," 06602 "
"70509","District of Columbia"," 20005 "
"70510","Calhoun"," 36205 "
"70511","Cherokee"," 35983 "
"70512","Blount"," 35121 "
"70513","Bethel"," 99551 "
"70514","Kauai"," 96703 "
"70515","Butte"," 95901 "
"70516","Bartow"," 30101 "
"70517","Adams"," 80011 "
"70518","Gila"," 85192 "
"70519","Arkansas"," 72073 "
"70520","Banks"," 30529 "
"70521","Cochise"," 85605 "
"70522","Anchorage"," 99502 "
"70523","Barrow"," 30517 "
"70524","Coconino"," 86001 "
"70525","Alameda"," 94538 "
"70526","Apache"," 85925 "
"70527","Chambers"," 36863 "
"70528","Fairfield"," 06604 "
"70529","District of Columbia"," 20006 "
"70530","Calhoun"," 36206 "
"70531","Cherokee"," 35984 "
"70532","Blount"," 35126 "
"70533","Bethel"," 99559 "
"70534","Kauai"," 96705 "
"70535","Butte"," 95914 "
"70536","Bartow"," 30102 "
"70537","Ben Hill"," 31750 "
"70538","Graham"," 85536 "
"70539","Adams"," 80019 "
"70540","Gila"," 85501 "
"70541","Dillingham"," 99576 "
"70542","Arkansas"," 72140 "
"70543","Banks"," 30530 "
"70544","Cochise"," 85606 "
"70545","Anchorage"," 99503 "
"70546","Barrow"," 30548 "
"70547","Coconino"," 86004 "
"70548","Alameda"," 94539 "
"70549","Apache"," 85927 "
"70550","Chambers"," 36879 "
"70551","Fairfield"," 06605 "
"70552","District of Columbia"," 20007 "
"70553","Calhoun"," 36207 "
"70554","Cherokee"," 36272 "
"70555","Blount"," 35133 "
"70556","Berrien"," 31622 "
"70557","Greenlee"," 85533 "
"70558","Fairbanks North Star"," 99701 "
"70559","Contra Costa"," 94505 "
"70560","Broomfield"," 80020 "
"70561","Kauai"," 96714 "
"70562","Butte"," 95916 "
"70563","Bartow"," 30103 "
"70564","Ben Hill"," 31783 "
"70565","Graham"," 85543 "
"70566","Adams"," 80020 "
"70567","Gila"," 85539 "
"70568","Arkansas"," 72160 "
"70569","Banks"," 30543 "
"70570","Cochise"," 85607 "
"70571","Anchorage"," 99504 "
"70572","Barrow"," 30620 "
"70573","Coconino"," 86005 "
"70574","Alameda"," 94541 "
"70575","Apache"," 85932 "
"70576","Fairfield"," 06606 "
"70577","District of Columbia"," 20008 "
"70578","Calhoun"," 36250 "
"70579","Blount"," 35146 "
"70580","Berrien"," 31639 "
"70581","Greenlee"," 85534 "
"70582","Fairbanks North Star"," 99705 "
"70583","Contra Costa"," 94506 "
"70584","Bibb"," 31020 "
"70585","Broomfield"," 80021 "
"70586","La Paz"," 85325 "
"70587","Haines"," 99827 "
"70588","Kauai"," 96716 "
"70589","Butte"," 95917 "
"70590","Bartow"," 30120 "
"70591","Graham"," 85546 "
"70592","Adams"," 80022 "
"70593","Gila"," 85541 "
"70594","Banks"," 30547 "
"70595","Cochise"," 85609 "
"70596","Anchorage"," 99507 "
"70597","Barrow"," 30622 "
"70598","Coconino"," 86015 "
"70599","Alameda"," 94542 "
"70600","Apache"," 85936 "
"70601","Fairfield"," 06607 "
"70602","District of Columbia"," 20009 "
"70603","Calhoun"," 36260 "
"70604","Blount"," 35172 "
"70605","Bleckley"," 31014 "
"70606","Maricopa"," 85003 "
"70607","Juneau"," 99801 "
"70608","El Dorado"," 95614 "
"70609","Cheyenne"," 80802 "
"70610","Berrien"," 31645 "
"70611","Greenlee"," 85922 "
"70612","Fairbanks North Star"," 99709 "
"70613","Contra Costa"," 94507 "
"70614","Bibb"," 31052 "
"70615","Broomfield"," 80023 "
"70616","La Paz"," 85328 "
"70617","Kauai"," 96722 "
"70618","Butte"," 95926 "
"70619","Bartow"," 30121 "
"70620","Graham"," 85552 "
"70621","Adams"," 80023 "
"70622","Gila"," 85544 "
"70623","Banks"," 30554 "
"70624","Cochise"," 85610 "
"70625","Anchorage"," 99508 "
"70626","Barrow"," 30656 "
"70627","Coconino"," 86017 "
"70628","Alameda"," 94544 "
"70629","Apache"," 85938 "
"70630","Fairfield"," 06608 "
"70631","District of Columbia"," 20010 "
"70632","Calhoun"," 36265 "
"70633","Blount"," 35180 "
"70634","Maricopa"," 85004 "
"70635","Juneau"," 99824 "
"70636","El Dorado"," 95619 "
"70637","Cheyenne"," 80810 "
"70638","Brantley"," 31503 "
"70639","Mohave"," 85360 "
"70640","Berrien"," 31749 "
"70641","Kenai Peninsula"," 99501 "
"70642","Fairbanks North Star"," 99712 "
"70643","Contra Costa"," 94509 "
"70644","Bibb"," 31201 "
"70645","La Paz"," 85334 "
"70646","Kauai"," 96741 "
"70647","Butte"," 95928 "
"70648","Bartow"," 30137 "
"70649","Adams"," 80030 "
"70650","Gila"," 85545 "
"70651","Banks"," 30558 "
"70652","Cochise"," 85615 "
"70653","Anchorage"," 99515 "
"70654","Barrow"," 30666 "
"70655","Coconino"," 86018 "
"70656","Alameda"," 94545 "
"70657","Apache"," 85940 "
"70658","Fairfield"," 06610 "
"70659","District of Columbia"," 20011 "
"70660","Calhoun"," 36271 "
"70661","Blount"," 35952 "
"70662","Brooks"," 31602 "
"70663","Navajo"," 85901 "
"70664","Ketchikan Gateway"," 99901 "
"70665","Glenn"," 95913 "
"70666","Conejos"," 80016 "
"70667","Maricopa"," 85006 "
"70668","El Dorado"," 95623 "
"70669","Cheyenne"," 80825 "
"70670","Brantley"," 31542 "
"70671","Mohave"," 86022 "
"70672","Berrien"," 31794 "
"70673","Kenai Peninsula"," 99556 "
"70674","Fairbanks North Star"," 99714 "
"70675","Contra Costa"," 94511 "
"70676","Bibb"," 31204 "
"70677","La Paz"," 85344 "
"70678","Kauai"," 96746 "
"70679","Butte"," 95930 "
"70680","Bartow"," 30139 "
"70681","Adams"," 80031 "
"70682","Gila"," 85553 "
"70683","Banks"," 30577 "
"70684","Cochise"," 85616 "
"70685","Anchorage"," 99516 "
"70686","Barrow"," 30680 "
"70687","Coconino"," 86022 "
"70688","Alameda"," 94546 "
"70689","Fairfield"," 06611 "
"70690","District of Columbia"," 20012 "
"70691","Calhoun"," 36272 "
"70692","Blount"," 35976 "
"70693","Brooks"," 31625 "
"70694","Navajo"," 85912 "
"70695","Glenn"," 95939 "
"70696","Bryan"," 31308 "
"70697","Conejos"," 80241 "
"70698","Pima"," 85321 "
"70699","Kodiak Island"," 99550 "
"70700","Maricopa"," 85007 "
"70701","El Dorado"," 95633 "
"70702","Brantley"," 31543 "
"70703","Mohave"," 86401 "
"70704","Kenai Peninsula"," 99568 "
"70705","Contra Costa"," 94513 "
"70706","Bibb"," 31206 "
"70707","La Paz"," 85346 "
"70708","Kauai"," 96751 "
"70709","Butte"," 95938 "
"70710","Bartow"," 30145 "
"70711","Adams"," 80045 "
"70712","Gila"," 85554 "
"70713","Cochise"," 85617 "
"70714","Anchorage"," 99517 "
"70715","Coconino"," 86024 "
"70716","Alameda"," 94550 "
"70717","Fairfield"," 06612 "
"70718","District of Columbia"," 20015 "
"70719","Calhoun"," 36277 "
"70720","Blount"," 35980 "
"70721","Bulloch"," 30415 "
"70722","Pinal"," 85118 "
"70723","Matanuska Susitna"," 99623 "
"70724","Imperial"," 92227 "
"70725","Crowley"," 81062 "
"70726","Brooks"," 31629 "
"70727","Navajo"," 85923 "
"70728","Glenn"," 95951 "
"70729","Bryan"," 31321 "
"70730","Conejos"," 81120 "
"70731","Pima"," 85601 "
"70732","Kodiak Island"," 99615 "
"70733","Maricopa"," 85008 "
"70734","El Dorado"," 95634 "
"70735","Brantley"," 31553 "
"70736","Mohave"," 86403 "
"70737","Kenai Peninsula"," 99572 "
"70738","Contra Costa"," 94514 "
"70739","Bibb"," 31210 "
"70740","La Paz"," 85348 "
"70741","Kauai"," 96752 "
"70742","Butte"," 95941 "
"70743","Bartow"," 30161 "
"70744","Adams"," 80102 "
"70745","Cochise"," 85620 "
"70746","Anchorage"," 99518 "
"70747","Coconino"," 86036 "
"70748","Alameda"," 94551 "
"70749","Fairfield"," 06614 "
"70750","District of Columbia"," 20016 "
"70751","Calhoun"," 36279 "
"70752","Bulloch"," 30425 "
"70753","Pinal"," 85119 "
"70754","Matanuska Susitna"," 99645 "
"70755","Imperial"," 92231 "
"70756","Crowley"," 81063 "
"70757","Burke"," 30426 "
"70758","Santa Cruz"," 85611 "
"70759","Nome"," 99762 "
"70760","Brooks"," 31643 "
"70761","Navajo"," 85928 "
"70762","Glenn"," 95963 "
"70763","Bryan"," 31324 "
"70764","Conejos"," 81140 "
"70765","Pima"," 85602 "
"70766","Maricopa"," 85009 "
"70767","El Dorado"," 95635 "
"70768","Brantley"," 31566 "
"70769","Mohave"," 86404 "
"70770","Kenai Peninsula"," 99603 "
"70771","Contra Costa"," 94517 "
"70772","Bibb"," 31211 "
"70773","La Paz"," 85357 "
"70774","Kauai"," 96754 "
"70775","Butte"," 95942 "
"70776","Bartow"," 30171 "
"70777","Adams"," 80103 "
"70778","Cochise"," 85625 "
"70779","Anchorage"," 99540 "
"70780","Coconino"," 86038 "
"70781","Alameda"," 94552 "
"70782","Fairfield"," 06615 "
"70783","District of Columbia"," 20017 "
"70784","Butts"," 30216 "
"70785","Bulloch"," 30450 "
"70786","Yavapai"," 85324 "
"70787","Sitka"," 99835 "
"70788","Kern"," 93203 "
"70789","Delta"," 81410 "
"70790","Pinal"," 85120 "
"70791","Matanuska Susitna"," 99652 "
"70792","Imperial"," 92233 "
"70793","Crowley"," 81076 "
"70794","Burke"," 30434 "
"70795","Santa Cruz"," 85621 "
"70796","Brooks"," 31720 "
"70797","Navajo"," 85929 "
"70798","Glenn"," 95988 "
"70799","Conejos"," 81148 "
"70800","Pima"," 85611 "
"70801","Maricopa"," 85012 "
"70802","El Dorado"," 95636 "
"70803","Mohave"," 86406 "
"70804","Kenai Peninsula"," 99605 "
"70805","Contra Costa"," 94518 "
"70806","Bibb"," 31216 "
"70807","Kauai"," 96756 "
"70808","Butte"," 95948 "
"70809","Bartow"," 30178 "
"70810","Adams"," 80136 "
"70811","Cochise"," 85626 "
"70812","Anchorage"," 99567 "
"70813","Coconino"," 86040 "
"70814","Alameda"," 94555 "
"70815","Fairfield"," 06784 "
"70816","District of Columbia"," 20018 "
"70817","Butts"," 30233 "
"70818","Calhoun"," 39813 "
"70819","Yuma"," 85333 "
"70820","Southeast Fairbanks"," 99737 "
"70821","Bulloch"," 30452 "
"70822","Yavapai"," 85332 "
"70823","Kern"," 93205 "
"70824","Delta"," 81413 "
"70825","Pinal"," 85122 "
"70826","Matanuska Susitna"," 99654 "
"70827","Imperial"," 92243 "
"70828","Burke"," 30441 "
"70829","Santa Cruz"," 85624 "
"70830","Brooks"," 31778 "
"70831","Navajo"," 85933 "
"70832","Conejos"," 81151 "
"70833","Pima"," 85614 "
"70834","Maricopa"," 85013 "
"70835","El Dorado"," 95651 "
"70836","Mohave"," 86409 "
"70837","Kenai Peninsula"," 99610 "
"70838","Contra Costa"," 94519 "
"70839","Bibb"," 31217 "
"70840","Kauai"," 96765 "
"70841","Butte"," 95954 "
"70842","Bartow"," 30184 "
"70843","Adams"," 80212 "
"70844","Cochise"," 85630 "
"70845","Anchorage"," 99577 "
"70846","Coconino"," 86046 "
"70847","Alameda"," 94560 "
"70848","Fairfield"," 06801 "
"70849","District of Columbia"," 20019 "
"70850","Camden"," 31548 "
"70851","Valdez Cordova"," 99574 "
"70852","Lake"," 95422 "
"70853","Dolores"," 81320 "
"70854","Crawford"," 72753 "
"70855","Butts"," 30234 "
"70856","Calhoun"," 39846 "
"70857","Yuma"," 85347 "
"70858","Bulloch"," 30458 "
"70859","Yavapai"," 85342 "
"70860","Kern"," 93206 "
"70861","Delta"," 81415 "
"70862","Pinal"," 85123 "
"70863","Matanuska Susitna"," 99674 "
"70864","Imperial"," 92249 "
"70865","Burke"," 30442 "
"70866","Santa Cruz"," 85637 "
"70867","Navajo"," 85934 "
"70868","Pima"," 85619 "
"70869","Maricopa"," 85014 "
"70870","El Dorado"," 95664 "
"70871","Mohave"," 86411 "
"70872","Kenai Peninsula"," 99611 "
"70873","Contra Costa"," 94520 "
"70874","Bibb"," 31220 "
"70875","Kauai"," 96766 "
"70876","Butte"," 95965 "
"70877","Adams"," 80220 "
"70878","Cochise"," 85632 "
"70879","Anchorage"," 99587 "
"70880","Coconino"," 86047 "
"70881","Alameda"," 94566 "
"70882","Fairfield"," 06804 "
"70883","District of Columbia"," 20020 "
"70884","Camden"," 31558 "
"70885","Valdez Cordova"," 99686 "
"70886","Lake"," 95423 "
"70887","Dolores"," 81324 "
"70888","Crawford"," 72921 "
"70889","Candler"," 30420 "
"70890","Yukon Koyukuk"," 99627 "
"70891","Lassen"," 96009 "
"70892","Calhoun"," 39866 "
"70893","Yuma"," 85349 "
"70894","Bulloch"," 30461 "
"70895","Yavapai"," 85362 "
"70896","Kern"," 93215 "
"70897","Delta"," 81416 "
"70898","Pinal"," 85128 "
"70899","Matanuska Susitna"," 99676 "
"70900","Imperial"," 92250 "
"70901","Burke"," 30456 "
"70902","Santa Cruz"," 85640 "
"70903","Navajo"," 85935 "
"70904","Pima"," 85622 "
