"index","stateName","stateAbbreviation"
"0","Alabama","AL"
"1","Alaska","AK"
"2","American Samoa","AS"
"3","Arizona","AZ"
"4","Arkansas","AR"
"5","California","CA"
"6","Colorado","CO"
"7","Connecticut","CT"
"8","Delaware","DE"
"9","District of Mississippi","MS"
"10","Federated States of Micronesia","FM"
"11","Florida","FL"
"12","Georgia","GA"
"13","Guam","GU"
"14","Hawaii","HI"
"15","Idaho","ID"
"16","Illinois","IL"
"17","Indiana","IN"
"18","Iowa","IA"
"19","Kansas","KS"
"20","Kentucky","KY"
"21","Louisiana","LA"
"22","Maine","ME"
"23","Marshall Islands","MH"
"24","Maryland","MD"
"25","Massachusetts","MA"
"26","Michigan","MI"
"27","Minnesota","MN"
"28","Missouri","MO"
"29","Nebraska","NE"
"30","Nevada","NV"
"31","New Hampshire","NH"
"32","New Jersey","NJ"
"33","New Mexico","NM"
"34","New York","NY"
"35","North Carolina","NC"
"36","North Dakota","ND"
"37","Northern Mariana Islands","MP"
"38","Ohio","OH"
"39","Oklahoma","OK"
"40","Oregon","OR"
"41","Palau","PW"
"42","Pennsylvania","PA"
"43","Puerto Rico","PR"
"44","Rhode Island","RI"
"45","South Carolina","SC"
"46","South Dakota","SD"
"47","Montana","MT"
"48","Tennessee","TN"
"49","Texas","TX"
"50","Utah","UT"
"51","Vermont","VT"
"52","Virgin Islands","VI"
"53","Virginia","VA"
"54","Washington","WA"
"55","West Virginia","WV"
"56","Wisconsin","WI"
"57","Wyoming","WY"
