"id","stateName","countyName","county"
"9422","Alabama"," Autauga "," Autauga County "
"9423","Alabama"," Baldwin "," Baldwin County "
"9424","Alabama"," Barbour "," Barbour County "
"9425","Alabama"," Bibb "," Bibb County "
"9426","Alabama"," Blount "," Blount County "
"9427","Alabama"," Bullock "," Bullock County "
"9428","Alabama"," Butler "," Butler County "
"9429","Alabama"," Calhoun "," Calhoun County "
"9430","District Of Columbia"," District of Columbia "," District of Columbia County "
"9431","Alabama"," Chambers "," Chambers County "
"9432","Georgia"," Appling "," Appling County "
"9433","Alabama"," Cherokee "," Cherokee County "
"9434","Connecticut"," Fairfield "," Fairfield County "
"9435","Georgia"," Atkinson "," Atkinson County "
"9436","Alabama"," Chilton "," Chilton County "
"9437","Connecticut"," Hartford "," Hartford County "
"9438","Delaware"," Kent "," Kent County "
"9439","Georgia"," Bacon "," Bacon County "
"9440","Alabama"," Choctaw "," Choctaw County "
"9441","Connecticut"," Litchfield "," Litchfield County "
"9442","Delaware"," New Castle "," New Castle County "
"9443","Idaho"," Ada "," Ada County "
"9444","Arkansas"," Arkansas "," Arkansas County "
"9445","Colorado"," Adams "," Adams County "
"9446","California"," Alameda "," Alameda County "
"9447","Georgia"," Baker "," Baker County "
"9448","Alabama"," Clarke "," Clarke County "
"9449","Connecticut"," Middlesex "," Middlesex County "
"9450","Delaware"," Sussex "," Sussex County "
"9451","Idaho"," Adams "," Adams County "
"9452","Arkansas"," Ashley "," Ashley County "
"9453","Colorado"," Alamosa "," Alamosa County "
"9454","California"," Alpine "," Alpine County "
"9455","Hawaii"," Hawaii "," Hawaii County "
"9456","Alaska"," Aleutians West "," Aleutians West Borough "
"9457","Arizona"," Apache "," Apache County "
"9458","Georgia"," Baldwin "," Baldwin County "
"9459","Alabama"," Clay "," Clay County "
"9460","Connecticut"," New Haven "," New Haven County "
"9461","Florida"," Alachua "," Alachua County "
"9462","Idaho"," Bannock "," Bannock County "
"9463","Arkansas"," Baxter "," Baxter County "
"9464","Colorado"," Arapahoe "," Arapahoe County "
"9465","California"," Amador "," Amador County "
"9466","Hawaii"," Honolulu "," Honolulu County "
"9467","Alaska"," Anchorage "," Anchorage Borough "
"9468","Arizona"," Cochise "," Cochise County "
"9469","Georgia"," Banks "," Banks County "
"9470","Alabama"," Cleburne "," Cleburne County "
"9471","Connecticut"," New London "," New London County "
"9472","Montana"," Beaverhead "," Beaverhead County "
"9473","Missouri"," Adair "," Adair County "
"9474","Mississippi"," Adams "," Adams County "
"9475","Wyoming"," Albany "," Albany County "
"9476","Florida"," Baker "," Baker County "
"9477","Idaho"," Bear Lake "," Bear Lake County "
"9478","Arkansas"," Benton "," Benton County "
"9479","Colorado"," Archuleta "," Archuleta County "
"9480","California"," Butte "," Butte County "
"9481","Hawaii"," Kauai "," Kauai County "
"9482","Alaska"," Bethel "," Bethel Borough "
"9483","Arizona"," Coconino "," Coconino County "
"9484","Georgia"," Barrow "," Barrow County "
"9485","Alabama"," Coffee "," Coffee County "
"9486","Connecticut"," Tolland "," Tolland County "
"9487","Montana"," Big Horn "," Big Horn County "
"9488","Missouri"," Andrew "," Andrew County "
"9489","Mississippi"," Alcorn "," Alcorn County "
"9490","Wyoming"," Big Horn "," Big Horn County "
"9491","Florida"," Bay "," Bay County "
"9492","Idaho"," Benewah "," Benewah County "
"9493","Arkansas"," Boone "," Boone County "
"9494","Colorado"," Bent "," Bent County "
"9495","California"," Calaveras "," Calaveras County "
"9496","Hawaii"," Maui "," Maui County "
"9497","Alaska"," Denali "," Denali Borough "
"9498","Arizona"," Gila "," Gila County "
"9499","Georgia"," Bartow "," Bartow County "
"9500","Alabama"," Colbert "," Colbert County "
"9501","Connecticut"," Windham "," Windham County "
"9502","Montana"," Blaine "," Blaine County "
"9503","Missouri"," Atchison "," Atchison County "
"9504","Mississippi"," Amite "," Amite County "
