stateName,countyName,county
Alabama,Autauga,Autauga County
Alabama,Baldwin,Baldwin County
Alabama,Barbour,Barbour County
Alabama,Bibb,Bibb County
Alabama,Blount,Blount County
Alabama,Bullock,Bullock County
Alabama,Butler,Butler County
Alabama,Calhoun,Calhoun County
District Of Columbia,District of Columbia,District of Columbia County
Alabama,Chambers,Chambers County
Georgia,Appling,Appling County
Alabama,Cherokee,Cherokee County
Connecticut,Fairfield,Fairfield County
Georgia,Atkinson,Atkinson County
Alabama,Chilton,Chilton County
Connecticut,Hartford,Hartford County
Delaware,Kent,Kent County
Georgia,Bacon,Bacon County
Alabama,Choctaw,Choctaw County
Connecticut,Litchfield,Litchfield County
Delaware,New Castle,New Castle County
Idaho,Ada,Ada County
Arkansas,Arkansas,Arkansas County
Colorado,Adams,Adams County
California,Alameda,Alameda County
Georgia,Baker,Baker County
Alabama,Clarke,Clarke County
Connecticut,Middlesex,Middlesex County
Delaware,Sussex,Sussex County
Idaho,Adams,Adams County
Arkansas,Ashley,Ashley County
Colorado,Alamosa,Alamosa County
California,Alpine,Alpine County
Hawaii,Hawaii,Hawaii County
Alaska,Aleutians West,Aleutians West Borough
Arizona,Apache,Apache County
Georgia,Baldwin,Baldwin County
Alabama,Clay,Clay County
Connecticut,New Haven,New Haven County
Florida,Alachua,Alachua County
Idaho,Bannock,Bannock County
Arkansas,Baxter,Baxter County
Colorado,Arapahoe,Arapahoe County
California,Amador,Amador County
Hawaii,Honolulu,Honolulu County
Alaska,Anchorage,Anchorage Borough
Arizona,Cochise,Cochise County
Georgia,Banks,Banks County
Alabama,Cleburne,Cleburne County
Connecticut,New London,New London County
Montana,Beaverhead,Beaverhead County
Missouri,Adair,Adair County
Mississippi,Adams,Adams County
Wyoming,Albany,Albany County
Florida,Baker,Baker County
Idaho,Bear Lake,Bear Lake County
Arkansas,Benton,Benton County
Colorado,Archuleta,Archuleta County
California,Butte,Butte County
Hawaii,Kauai,Kauai County
Alaska,Bethel,Bethel Borough
Arizona,Coconino,Coconino County
Georgia,Barrow,Barrow County
Alabama,Coffee,Coffee County
Connecticut,Tolland,Tolland County
Montana,Big Horn,Big Horn County
Missouri,Andrew,Andrew County
Mississippi,Alcorn,Alcorn County
Wyoming,Big Horn,Big Horn County
Florida,Bay,Bay County
Idaho,Benewah,Benewah County
Arkansas,Boone,Boone County
Colorado,Bent,Bent County
California,Calaveras,Calaveras County
Hawaii,Maui,Maui County
Alaska,Denali,Denali Borough
Arizona,Gila,Gila County
Georgia,Bartow,Bartow County
Alabama,Colbert,Colbert County
Connecticut,Windham,Windham County
Montana,Blaine,Blaine County
Missouri,Atchison,Atchison County
Mississippi,Amite,Amite County
Wyoming,Campbell,Campbell County
Florida,Bradford,Bradford County
Idaho,Bingham,Bingham County
Arkansas,Bradley,Bradley County
Colorado,Boulder,Boulder County
California,Colusa,Colusa County
Alaska,Dillingham,Dillingham Borough
Arizona,Graham,Graham County
Georgia,Ben Hill,Ben Hill County
Alabama,Conecuh,Conecuh County
Montana,Broadwater,Broadwater County
Missouri,Audrain,Audrain County
Mississippi,Attala,Attala County
Wyoming,Carbon,Carbon County
Florida,Brevard,Brevard County
Idaho,Blaine,Blaine County
Arkansas,Calhoun,Calhoun County
Colorado,Broomfield,Broomfield County
California,Contra Costa,Contra Costa County
Alaska,Fairbanks North Star,Fairbanks North Star Borough
Arizona,Greenlee,Greenlee County
Georgia,Berrien,Berrien County
Alabama,Coosa,Coosa County
Montana,Carbon,Carbon County
Missouri,Barry,Barry County
Mississippi,Benton,Benton County
Wyoming,Converse,Converse County
Florida,Broward,Broward County
Idaho,Boise,Boise County
Arkansas,Carroll,Carroll County
Colorado,Chaffee,Chaffee County
California,Del Norte,Del Norte County
Alaska,Haines,Haines Borough
Arizona,La Paz,La Paz County
Georgia,Bibb,Bibb County
Alabama,Covington,Covington County
Montana,Cascade,Cascade County
Missouri,Barton,Barton County
Mississippi,Bolivar,Bolivar County
Wyoming,Crook,Crook County
Florida,Calhoun,Calhoun County
Idaho,Bonner,Bonner County
Arkansas,Chicot,Chicot County
Colorado,Cheyenne,Cheyenne County
California,El Dorado,El Dorado County
Alaska,Juneau,Juneau Borough
Arizona,Maricopa,Maricopa County
Georgia,Bleckley,Bleckley County
Alabama,Crenshaw,Crenshaw County
Montana,Chouteau,Chouteau County
Missouri,Bates,Bates County
Mississippi,Calhoun,Calhoun County
Wyoming,Fremont,Fremont County
Florida,Charlotte,Charlotte County
Idaho,Bonneville,Bonneville County
Arkansas,Clark,Clark County
Colorado,Clear Creek,Clear Creek County
California,Fresno,Fresno County
Alaska,Kenai Peninsula,Kenai Peninsula Borough
Arizona,Mohave,Mohave County
Georgia,Brantley,Brantley County
Alabama,Cullman,Cullman County
Montana,Custer,Custer County
Missouri,Benton,Benton County
Mississippi,Carroll,Carroll County
Wyoming,Goshen,Goshen County
Florida,Citrus,Citrus County
Idaho,Boundary,Boundary County
Arkansas,Clay,Clay County
Colorado,Conejos,Conejos County
California,Glenn,Glenn County
Alaska,Ketchikan Gateway,Ketchikan Gateway Borough
Arizona,Navajo,Navajo County
Georgia,Brooks,Brooks County
Alabama,Dale,Dale County
Montana,Daniels,Daniels County
Missouri,Bollinger,Bollinger County
Mississippi,Chickasaw,Chickasaw County
Wyoming,Hot Springs,Hot Springs County
Florida,Clay,Clay County
Idaho,Butte,Butte County
Arkansas,Cleburne,Cleburne County
Colorado,Costilla,Costilla County
California,Humboldt,Humboldt County
Alaska,Kodiak Island,Kodiak Island Borough
Arizona,Pima,Pima County
Georgia,Bryan,Bryan County
Alabama,Dallas,Dallas County
Montana,Dawson,Dawson County
Missouri,Boone,Boone County
